PV,Tem
0,-9.64
0,-9.67
0,-9.7
0,-9.84
0,-10.16
13.2,-10.04
98.32,-8.66
167.93,-6.55
224.15,-5.11
275.1,-4.16
347.92,-3.86
201.48,-4.12
127.1,-4.72
52.3,-6
2.3,-7.72
0,-8.02
0,-7.98
0,-8.96
0,-9.35
0,-9.67
0,-9.36
0,-9.53
0,-10.49
0,-10.66
0,-10.56
0,-10.44
0,-10.06
0,-10.16
0,-10
12.65,-9.75
74.68,-9.08
130.6,-7.84
193.93,-6.69
258.92,-5.93
238.25,-5.25
240.8,-4.93
173.95,-5.46
85.75,-7.42
10.82,-10.06
0,-10.62
0,-11.17
0,-11.3
0,-10.94
0,-11.05
0,-11.38
0,-11.71
0,-12.1
0,-12.46
0,-12.75
0,-12.9
0,-12.83
0,-12.45
0,-12.23
22.52,-12.24
157.7,-10.54
290.25,-7.89
339.33,-6.24
424.02,-5.49
350.2,-4.86
314.3,-4.73
214.2,-5.16
93.22,-6.75
12.32,-9.5
0,-10.66
0,-11.33
0,-11.13
0,-10.75
0,-10.67
0,-10.52
0,-10.42
0,-10.57
0,-10.83
0,-11.08
0,-11.31
0,-11.55
0,-11.94
0,-12.34
21.42,-12.31
129.32,-10.46
213.27,-7.58
239.38,-6.38
318.95,-5.71
301.25,-5.38
254.98,-5.36
163.88,-5.84
70.53,-7.39
10.02,-9.26
0,-9.97
0,-10.17
0,-10.22
0,-10.51
0,-11.17
0,-11.89
0,-12.39
0,-12.81
0,-13.43
0,-13.92
0,-14.19
0,-14.15
0,-13.92
0,-13.79
24.15,-13.16
165.38,-10.45
271.08,-7.7
342.98,-6.41
375.15,-5.56
338.7,-4.79
280.48,-4.42
267.17,-4.72
117.32,-6.23
13.9,-8.42
0,-9.54
0,-10.05
0,-10.08
0,-9.85
0,-9.58
0,-9.51
0,-9.78
0,-10.24
0,-10.64
0,-10.76
0,-10.9
0,-11.25
0,-11.71
0,-12.22
25.5,-12.14
153.38,-9.6
291.58,-5.83
309.45,-3.69
429.85,-2.61
397.58,-2.28
367.48,-2.44
250.73,-2.97
112.62,-4.47
16.42,-6.74
0,-8.25
0,-8.98
0,-9.05
0,-8.89
0,-8.4
0,-8.08
0,-8.33
0,-8.81
0,-8.91
0,-8.59
0,-8.6
0,-8.81
0,-8.25
0,-7.45
23.95,-6.78
146.1,-5.82
197.75,-4.25
315.42,-3.18
366.27,-2.58
376.73,-2.34
312.77,-2.37
224.3,-2.98
130.6,-4.89
17.35,-7.76
0,-8.44
0,-8.53
0,-8.54
0,-8.63
0,-9
0,-9.84
0,-10.83
0,-11.62
0,-11.71
0,-11.39
0,-11.06
0,-10.73
0,-10.48
0,-10.39
26.65,-10.07
154.02,-8.11
238.95,-5.62
354.98,-4.31
450.92,-3.67
383.05,-3.56
367.8,-3.5
269.35,-3.68
120.03,-5
19.35,-7.51
0,-8.52
0,-8.56
0,-8.26
0,-8.12
0,-8.09
0,-7.98
0,-8.18
0,-8.63
0,-8.95
0,-8.94
0,-8.81
0,-8.63
0,-8.4
0,-8.37
25.98,-8.16
144.57,-6.63
217.02,-4.08
320,-2.51
376.27,-1.81
359.83,-1.58
287.95,-1.46
209.93,-1.64
111.57,-3.24
17.65,-5.56
0,-6.23
0,-6.27
0,-6.15
0,-6.24
0,-6.46
0,-6.7
0,-6.86
0,-6.86
0,-6.63
0,-6.39
0,-6.44
0,-6.46
0,-6.57
0,-6.52
26.73,-6.16
166.38,-5
306.73,-3.35
343.08,-1.78
401.6,-0.84
424,-0.37
384.23,-0.38
233.02,-0.82
143.15,-2.28
24.65,-5.07
0,-5.9
0,-5.95
0,-5.61
0,-5.45
0,-5.69
0,-6.25
0,-6.89
0,-7.49
0,-7.81
0,-7.76
0,-7.73
0,-7.74
0,-7.72
0,-7.75
31.77,-7.52
172.38,-5.97
250.02,-3.35
334.75,-1.75
427.6,-1.01
404.7,-0.97
352.88,-1.13
254.73,-1.55
135.18,-3.18
24.05,-6.22
0,-7.03
0,-7.43
0,-7.86
0,-8.21
0,-8.33
0,-8.13
0,-7.94
0,-7.84
0,-7.73
0,-7.7
0,-7.65
0,-7.79
0,-7.88
0,-7.83
19.5,-7.42
100.05,-6.09
216.6,-4.77
318.27,-4.02
369.6,-3.69
345.5,-3.55
301.17,-3.25
283.5,-3.3
157.8,-3.92
27.2,-5.38
0,-6.73
0,-7.74
0,-7.93
0,-8.47
0,-8.32
0,-7.56
0,-7.15
0,-7.13
0,-7.15
0,-6.88
0,-6.49
0,-6.15
0,-5.88
0,-6.09
22.77,-6.43
103.22,-5.24
195.12,-4.15
249.55,-3.8
351.9,-3.94
357.27,-4.2
351.45,-4.59
201.85,-4.89
99.68,-5.47
22.15,-7.23
0,-8.93
0,-10.14
0,-10.61
0,-11.23
0,-12.16
0,-12.49
0,-12.84
0,-13.18
0,-13.33
0,-13.12
0,-12.89
0,-12.95
0,-13
0,-12.92
46.1,-11.93
205.43,-9.11
367.85,-6.54
470.45,-4.94
483.95,-3.93
526.78,-3.31
433.33,-3.03
368.98,-3.18
196.77,-4.42
44.08,-7.41
0,-8.53
0,-8.87
0,-9.43
0,-10.15
0,-10.45
0,-10.56
0,-10.49
0,-10.49
0,-10.71
0,-11.11
0,-11.56
0,-12.12
0,-12.53
0,-12.61
50.4,-11.68
212.23,-8.59
377.12,-5.79
464.33,-3.86
537.05,-2.63
465.98,-1.87
429.95,-1.49
307.8,-1.64
188.52,-2.86
40.28,-5.08
0,-6.68
0,-8.27
0,-8.61
0,-8.45
0,-8.27
0,-7.81
0,-7.66
0,-7.56
0,-7.17
0,-6.86
0,-6.8
0,-7.06
0,-7.36
0,-7.5
31.98,-6.95
170.75,-4.77
311.83,-1.95
451.12,-0.46
402.17,0.31
421.25,0.41
438.95,0.19
321.38,-0.31
189.23,-1.88
41.25,-4.46
0,-5.27
0,-5.52
0,-5.63
0,-5.37
0,-5.24
0,-5.43
0,-5.97
0,-6.43
0,-6.52
0,-6.08
0,-5.61
0,-5.2
0,-4.95
0,-5.11
42.2,-4.95
171.75,-3.81
251.65,-1.91
356.5,-0.27
375.83,0.92
414.33,1.52
359.02,1.74
235.77,1.43
145.93,-0.19
32,-2.32
0,-3.17
0,-3.19
0,-3.13
0,-3.21
0,-3.6
0,-4.03
0,-4.19
0,-4.45
0,-4.54
0,-4.31
0,-4.01
0,-3.96
0,-4.26
0,-4.57
42.22,-4.41
189.82,-2.91
329.05,-0.8
325.67,0.51
534.12,1.06
454.52,1.27
435.6,1.62
338.75,1.66
207.2,0.11
49.15,-3.14
0,-3.84
0,-4.03
0,-4.36
0,-4.85
0,-4.93
0,-4.65
0,-4.74
0,-4.77
0,-4.55
0,-4.5
0,-4.68
0,-4.77
0,-4.57
0,-3.97
33.97,-3.45
122.72,-2.72
242.6,-1.21
319.85,0.39
445.5,2.1
393.38,2.82
352.75,3.29
263.2,3.2
162.07,1.42
33.38,-0.98
0,-1.93
0,-1.7
0,-2.43
0,-3.65
0,-4.18
0,-3.18
0,-2.28
